Receiver           gz_p_th     gz_p_solution       dGz/gz_p_th
  301           5,57904           5,57904       6,33613e-14
  302           5,67301           5,67301       6,32511e-14
  303           5,76896           5,76896       6,31229e-14
  304           5,86693           5,86693       6,29771e-14
  305           5,96697           5,96697       6,29632e-14
  306           6,06913           6,06913       6,27814e-14
  307           6,17347           6,17347       6,24397e-14
  308           6,28003           6,28003       6,23702e-14
  309           6,38887           6,38887       6,22808e-14
  310           6,50005           6,50005        6,2172e-14
  311           6,61362           6,61362       6,19102e-14
  312           6,72963           6,72963       6,16348e-14
  313           6,84815           6,84815       6,17353e-14
  314           6,96924           6,96924       6,15548e-14
  315           7,09296           7,09296       6,11072e-14
  316           7,21937           7,21937       6,08984e-14
  317           7,34854           7,34854       6,07949e-14
  318           7,48054           7,48054       6,04345e-14
  319           7,61543           7,61543       6,01805e-14
  320           7,75327           7,75327       5,97978e-14
  321           7,89416           7,89416       5,96308e-14
  322           8,03814           8,03814       5,92256e-14
  323           8,18531           8,18531       5,90288e-14
  324           8,33574           8,33574       5,86029e-14
  325           8,48949           8,48949       5,85877e-14
  326           8,64666           8,64666       5,81391e-14
  327           8,80733           8,80733       5,76836e-14
  328           8,97156           8,97156       5,74196e-14
  329           9,13946           9,13946       5,69478e-14
  330           9,31111           9,31111       5,64704e-14
  331           9,48659           9,48659       5,59875e-14
  332           9,66599           9,66599       5,58673e-14
  333            9,8494            9,8494       5,50073e-14
  334           10,0369           10,0369       5,48645e-14
  335           10,2286           10,2286       5,41835e-14
  336           10,4247           10,4247       5,35055e-14
  337           10,6251           10,6251        5,3165e-14
  338             10,83             10,83       5,26512e-14
  339           11,0394           11,0394       5,21348e-14
  340           11,2536           11,2536       5,14583e-14
  341           11,4726           11,4726       5,09406e-14
  342           11,6965           11,6965       5,02694e-14
  343           11,9253           11,9253       4,99004e-14
  344           12,1593           12,1593       4,89402e-14
  345           12,3985           12,3985       4,82826e-14
  346            12,643            12,643       4,76298e-14
  347            12,893            12,893       4,67064e-14
  348           13,1485           13,1485       4,63393e-14
  349           13,4096           13,4096       4,54369e-14
  350           13,6765           13,6765       4,45502e-14
  351           13,9492           13,9492       4,39338e-14
  352            14,228            14,228       4,30731e-14
  353           14,5128           14,5128       4,23503e-14
  354           14,8038           14,8038       4,13978e-14
  355           15,1011           15,1011       4,05828e-14
  356           15,4047           15,4047       3,97827e-14
  357           15,7149           15,7149       3,86584e-14
  358           16,0317           16,0317       3,76729e-14
  359           16,3552           16,3552       3,67105e-14
  360           16,6855           16,6855       3,59838e-14
  361           17,0227           17,0227       3,48537e-14
  362           17,3668           17,3668       3,37539e-14
  363            17,718            17,718       3,26838e-14
  364           18,0763           18,0763       3,16429e-14
  365           18,4419           18,4419       3,06304e-14
  366           18,8146           18,8146        2,9457e-14
  367           19,1948           19,1948       2,85035e-14
  368           19,5823           19,5823       2,72138e-14
  369           19,9772           19,9772       2,61423e-14
  370           20,3796           20,3796       2,49288e-14
  371           20,7894           20,7894       2,37538e-14
  372           21,2067           21,2067       2,24487e-14
  373           21,6316           21,6316       2,13509e-14
  374           22,0638           22,0638       2,01275e-14
  375           22,5036           22,5036       1,89448e-14
  376           22,9507           22,9507       1,76469e-14
  377           23,4052           23,4052       1,63935e-14
  378            23,867            23,867        1,5332e-14
  379           24,3359           24,3359       1,38687e-14
  380            24,812            24,812       1,27435e-14
  381           25,2949           25,2949       1,10957e-14
  382           25,7847           25,7847       1,00582e-14
  383            26,281            26,281       8,65163e-15
  384           26,7838           26,7838       7,42807e-15
  385           27,2928           27,2928       6,11801e-15
  386           27,8077           27,8077       4,72712e-15
  387           28,3283           28,3283       3,38613e-15
  388           28,8543           28,8543       2,46252e-15
  389           29,3854           29,3854       9,67206e-16
  390           29,9211           29,9211       2,37472e-16
  391           30,4612           30,4612       1,39957e-15
  392           31,0052           31,0052       2,86461e-15
  393           31,5527           31,5527       4,05346e-15
  394           32,1032           32,1032       5,09061e-15
  395           32,6562           32,6562       6,52749e-15
  396           33,2112           33,2112       7,70209e-15
  397           33,7676           33,7676        8,8377e-15
  398           34,3249           34,3249       9,93624e-15
  399           34,8825           34,8825       1,09996e-14
  400           35,4397           35,4397       1,22301e-14
  401           35,9959           35,9959       1,32255e-14
  402           36,5504           36,5504       1,41913e-14
  403           37,1026           37,1026       1,51291e-14
  404           37,6517           37,6517       1,62295e-14
  405           38,1971           38,1971       1,71139e-14
  406           38,7379           38,7379        1,7792e-14
  407           39,2736           39,2736       1,86349e-14
  408           39,8033           39,8033        1,9458e-14
  409           40,3264           40,3264       2,02628e-14
  410           40,8421           40,8421       2,07028e-14
  411           41,3497           41,3497       2,14797e-14
  412           41,8485           41,8485       2,19028e-14
  413           42,3379           42,3379        2,2321e-14
  414           42,8171           42,8171       2,29009e-14
  415           43,2856           43,2856       2,31455e-14
  416           43,7428           43,7428       2,35533e-14
  417            44,188            44,188       2,37984e-14
  418           44,6209           44,6209       2,40452e-14
  419           45,0408           45,0408       2,42943e-14
  420           45,4474           45,4474        2,4077e-14
  421           45,8403           45,8403       2,40256e-14
  422           46,2191           46,2191       2,41362e-14
  423           46,5836           46,5836       2,37948e-14
  424           46,9334           46,9334       2,34661e-14
  425           47,2684           47,2684       2,32997e-14
  426           47,5885           47,5885       2,29937e-14
  427           47,8936           47,8936       2,25505e-14
  428           48,1837           48,1837       2,19724e-14
  429           48,4587           48,4587       2,14078e-14
  430           48,7187           48,7187       2,10018e-14
  431           48,9638           48,9638       2,03162e-14
  432           49,1942           49,1942       1,93544e-14
  433           49,4101           49,4101       1,85509e-14
  434           49,6115           49,6115       1,77594e-14
  435           49,7989           49,7989       1,66939e-14
